id=828024724710182912 ; || ; actores españoles progres , americanos , queman negro gala Oscars . ; || ; 0
id=828018031003574272 ; || ; veo # goya2017 . Admiro actores normales , millonarios subvencionados españoles ... presumen rojos ; || ; 0
id=828017960275103749 ; || ; @ Francis76440634 Coletas corto . mano embargar Calzones Inda demasiado Monguer . ; || ; 0
id=828017863906693120 ; || ; crees machista , homofobo , racista , etc ? — , luego , sobretodo habernos ... https : //t.co/ODwO5NnvJD ; || ; 0
id=828017810202845184 ; || ; Dale zoom , camellos blancos imagen . negro sombras . Amplia imagen . # goya2017 la… https : //t.co/S6rh58v2mC ; || ; 0
id=828017718267871234 ; || ; puta casa lamerle culo retrasado lmao ; || ; 1
id=828017573799350272 ; || ; hacer mujer hetero vuelva bollera yahoo respuestas ; || ; 0
id=828017423970398209 ; || ; Karra Elejalde sodomita ? ? ? ? # goya2017 ; || ; 0
id=828017312146010114 ; || ; DOS jUNTOS DOS PRIMEROS LISTA NEGRA https : //t.co/UojJLKYXje ; || ; 0
id=828017276012097539 ; || ; reset cansa hacer subnormal ? ; || ; 0
id=828017266562318339 ; || ; @ PokemonGoCordob mayoria equipo rojo ; || ; 0
id=828016685995134976 ; || ; Gran semana prensa deportiva , aprendemos nazis victimas intereses dun clube deben primar seguridade cidadá . ; || ; 0
id=828016615711182849 ; || ; @ quiquechust Conclusión : Er Benni cabrón facha ayudó Trum ; || ; 1
id=828016604441088001 ; || ; peli Trueba tampoco ganado ningún Goya culpa boicot fachas # goya2017 ; || ; 0
id=828016528935235586 ; || ; @ Lamismamente @ SylvyAKo @ polibueno691 @ aeperio @ albert_dmcat andaluza orgullosa ser española ! si negra KKKLan ; || ; 1
id=828016483343163392 ; || ; creo mundo alguien dé asco subnormal Dani Rovira . ; || ; 1
id=828016451076374529 ; || ; alguien cae bien subnormal Rovira ? ; || ; 1
id=828016392104452096 ; || ; Ideas congraciarse # BoycotALosGoyas : Nombrar premios callejero facha . Ej : Goya General Mola Mejor Guión Original ; || ; 0
id=828016272441016320 ; || ; @ Wleeed48190095 seguramente rabo largo moro mierdaaa ! ; || ; 1
id=828016088004907012 ; || ; @ xaxquex tan monguer pago , quitaron cuenta universitario jovenzuelo ! ! https : //t.co/IiJKIuhVzb ; || ; 0
id=828016075501613057 ; || ; Paisano , sarasa orgulloso serlo . — parece genial https : //t.co/D3TCAVOUui ; || ; 0
id=828015739307163648 ; || ; FETISH FANTASY ELITE , SENT FUNDA ANILLOS PENE ROJO . Disponible : https : //t.co/zM1fnKZnSp https : //t.co/PJz2xur90Z ; || ; 0
id=828015610894356486 ; || ; 4 febrero : trolleado percebeiros looooooooooool . Javier Tebas subnormal . ; || ; 1
id=828015429188780036 ; || ; @ suarez240308 @ Sonia_E7 @ Azpitarte Si Coruña odiamos alcalde , subnormal ... ; || ; 1
id=828015327481053185 ; || ; Paz Vega va peinada clase colegio monguer . # goya2017 ; || ; 0
id=828015253061525504 ; || ; Ay hostia ... salido fachas niñas ? ? ? ? https : //t.co/MABDmYldxa ; || ; 0
id=828015228956839937 ; || ; @ FBarryX vente sábado mamona ; || ; 0
id=828015210736840704 ; || ; Hostia padre homófobo Mauri ; || ; 0
id=828015205288439808 ; || ; Quede ofendida marica , ¿como va decir ? ; || ; 0
id=828015116088143872 ; || ; @ Exojo @ el_pais Fachas ateos . Dios Catalán creo Paraíso Lérida Tarragona . ? ? ? ? ? ? ; || ; 1
id=828015016720871424 ; || ; Barroso : recaudado + cine invertido ¿Dónde ahora fachas bocazas q ladraban subvenciones ? ; || ; 1
id=828014933883441153 ; || ; @ javiprietoviedo serio ? gustó uso humor negro tratar temas sexo muerte : P ; || ; 0
id=828014929961697280 ; || ; nueva Trump : decretar sexo matrimonio , aborto matrimonio gay inmorales https : //t.co/bzyGnafpDi vía ; || ; 0
id=828014913629122560 ; || ; Marico risa tierrues JAJAJAJAJAJAJAJAJAJ ; || ; 0
id=828014905756364800 ; || ; Rinocerontes blancos negros , seguiré entender llaman así si grises . ; || ; 0
id=828014750042845184 ; || ; @ AnthonyDashESP Fav si retrasado ; || ; 1
id=828014578676142085 ; || ; @ hothorchata culo dio subnormal , asqueroso ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ; || ; 1
id=828014436891910144 ; || ; Veis subnormal perdido ? # ñoño https : //t.co/7p2ytyzQMf ; || ; 1
id=828014358198366209 ; || ; Tio descojonandones subnormal ahora entra tos ; || ; 0
id=828014260936663041 ; || ; @ YoMarichichi moro mierda dando culo así general ..que ganas equivoque conmigo ; || ; 1
id=828014236832059392 ; || ; Dani Rovira siendo subnormal , quién podía imaginar . ; || ; 1
id=828014101674786817 ; || ; @ MarioCimar si mario ingles subnormal ? ? ; || ; 0
id=828014090304024578 ; || ; @ KibaOcaso ojos rojos gritando campo batalla golpeando gilipollas gilipollas ; || ; 0
id=828014063124934656 ; || ; '' surfistas nazis deben morir '' impresionante xD ; || ; 1
id=828014046913896448 ; || ; Jajaja marico dejen jugar vidas https : //t.co/EHhMSK0Rz8 ; || ; 0
id=828014017146937346 ; || ; . @ materazziRBB `` jóvenes pacíficos '' Maidán , quemaron 43 personas vivas Odessa . Zozulya , mongolo . ; || ; 0
id=828013787986948096 ; || ; @ SuperFalete Goya mejor guión original : `` siempre cruzan rojo cojones ( Aunque mu… https : //t.co/cBZMnclEhY ; || ; 0
id=828013731716136961 ; || ; @ FuggingBleb ¿y ser racista ? ser pobre pedazo subnormal . dinero lleva Morales haciendo museo 8 millones ahí . ; || ; 0
id=828013725114302464 ; || ; # COAC2017P14 comparsa encanto ninguna perra ningun perro gay . https : //t.co/Jam128jx99 ; || ; 1
id=828013600652541952 ; || ; da grimilla apoyáis reís gracias pavos van aliados machista , homófobo tránsfobo visto ; || ; 0
id=828013589801865219 ; || ; -Emo mongolo gorra -Dice edad `` lvl '' -Bio mongolo . - `` patina guai Sevilla '' - Dinosaur https : //t.co/lUn8Ezdnpq ; || ; 1
id=828013557035958273 ; || ; @ AlditaFC si equipo cheto igualmente mamón jajaja . salva partidos Musa Mané Ben Yedder IF xD ; || ; 0
id=828013090356748288 ; || ; @ BroncesLOL vozarron , despues pregunten si chica . tal caso seras chica fuma tabaco negro XDDDDD ; || ; 0
id=828013065186729984 ; || ; @ JotDownSpain si pirata recibes punto negro , llevas mal ... ; || ; 1
id=828012992000360449 ; || ; hace falta ir Ucrania saber Zozulya nazi , Poroshenko asesino golpista . Bocazas . https : //t.co/PgRTYkehk6 ; || ; 1
id=828012840757948420 ; || ; @ PinoHormail @ FutbolResentido @ juanma_rguez Perdonarle joder infancia difícil , padres echaron casa retrasado ; || ; 0
id=828012691033882629 ; || ; chips ahoy superiores oreos . Ala , dicho . oreos gusta parte negra . Unfollow allí & gt ; ; || ; 0
id=828012670272028673 ; || ; besaculos gringo enteran gringos adoran Almodóvar actores realeza allí . ; || ; 0
id=828012498871787521 ; || ; '' tanta mierda cabeza , materia gris volviendo negra '' ; || ; 0
id=828012464071655429 ; || ; [ SPOILER THE WALKING DEAD ] ... ¡¿PERO COJONES PASA NIÑA ! ? PUTAMENTE LOCA JODER ! ! ! ? ? ? ? ? ? ? ? https : //t.co/yuMgXCQnmH ; || ; 0
id=828012448905052161 ; || ; @ db9cama5 bien haces maricon ... ... ... ... ... ... ... ... ... ... ... . ¿por ? Homosexualidad egodistónica llama problema mental ; || ; 1
id=828012303836643328 ; || ; único español debe proteger . cine . demás , . fachas https : //t.co/Mnzfz8DV75 ; || ; 0
id=828012139705225221 ; || ; '' hijos , ver si estudian ( ser mamón ) . # Goya2017 ; || ; 0
id=828012056263684097 ; || ; @ CazonPalangana cara monguer come papa puede decir `` tas podría Anita mamona '' ; || ; 1
id=828011892912320512 ; || ; @ pmanglano Goya mejor guión original `` siempre cruzan rojo ( Aunque azules ) '' de… https : //t.co/uGIa4t4LOv ; || ; 0
id=828011817855283201 ; || ; @ Anuski24158940 poniendo negra , voy quitar , asqueroso ; || ; 0
id=828011759793471489 ; || ; @ Namurii @ Donaldotepeta @ Malelaim lado , feminazi agresiva , basas llamarme machista preguntar '¿que dices ? ' . ? ? ; || ; 1
id=828011440602750977 ; || ; vamos ver @ ghoficial llama : gorda , tonta , comentarios homófobos aparte , ¿la guerra psicológica cuándo entra valoración ? ; || ; 0
id=828011430716780545 ; || ; @ xBadWings & gt ; podría ayudar . Quizás persona pollito suelen reaccionar 'buhh feminazi ' & gt ; ; || ; 0
id=828011121961492480 ; || ; bombones chocolate negro ESCORIA . ; || ; 0
id=828011065883639808 ; || ; @ Cujjjo dio ahí mas , aparte mensaje citó MAMÓN ? ? ; || ; 0
id=828011047453917185 ; || ; @ Dri69 pesada crossfit , maricón : P ; || ; 0
id=828010895687180288 ; || ; @ JuanitaAlba subnormal maleducada Elettra ríe igual q naranjita cojones sensación ? ? ? ? ? puedo ! ; || ; 1
id=828010868805865473 ; || ; @ 0_Aredhel_0 MAMONA , FIJO COJO MÓVIL ENCUENTRO DICK PICKS 20. ; || ; 1
id=828010842163658752 ; || ; # goya2017 joder director orquesta ? hombre negro ? ? ? Ridículo eh ! ! ! ; || ; 0
id=828010779295223809 ; || ; toca putos cojones . toca bien . Manda narices . gilipollas mamón . ; || ; 1
id=828010774383751168 ; || ; @ cristobalsoria ponte cinto mongolo ! ! ! ; || ; 0
id=828010701776117760 ; || ; cosa fea decir parejas parejos ... parejos ? ? subnormal chaval ! ! ; || ; 0
id=828010697254658048 ; || ; @ JuanitaAlba puesto 24 h voy quitar mala leche panda gilipollas ! ! ! negra ! ! ! # vipdirecto ; || ; 0
id=828010620427583493 ; || ; sube escenario dice “Soy ... ... ... ustedes llaman ... ... ... . charnego” # goya2017 ; || ; 0
id=828010614442303489 ; || ; acaba decir Cari wassap . Capela maricón ; || ; 1
id=828010498721476609 ; || ; dolidos camello culero lleva intestino buen cargamento pasar aduana dar comer people ; || ; 0
id=828010478676930565 ; || ; @ Yo_Mismo_ZGZ equivocado . fechas , fachas . saludo ; || ; 0
id=828010420535439361 ; || ; dicho Goya machista , fascista , facha ( ... ) Trump todavía saltado sorpresa Condomina ? # goya2017 ; || ; 0
id=828010303724077056 ; || ; @ AntuanSquare progres mundo divide dos : `` piensan exactamente '' `` fachas '' . # GoyasGolfos ; || ; 0
id=828010147419152384 ; || ; @ Panfleto_AS @ LeHerrera32 Jajajajaja Dios santo.. ! sale monguers éste perdido ! ! ? ? ? ? ? ? ; || ; 0
id=828010041512960000 ; || ; @ Aqui_laBlanqui nain . Alejo Sauras sigue igual Serrano mamón . ; || ; 0
id=828009913981005826 ; || ; fiesta acabo ver libro titulado `` The Religions '' sólo puedo imaginar capítulos : putos moros ... ; || ; 1
id=828009701610835968 ; || ; # GoyasGolfos preocupéis . día celebrareis día cine facha . cine ? Si , hombre . Podéis volver ver Raza . ; || ; 0
id=828009685420744704 ; || ; @ jose_7158 claro , claro , pasarse fachas . ; || ; 0
id=828009571792908289 ; || ; follen clica maricon mierda ; || ; 1
id=828009542873128960 ; || ; Si digo subnormal digo serio . ; || ; 0
id=828009349452808192 ; || ; @ Azpitarte mira q subnormal fillo put . vente pa aqui indio ; || ; 1
id=828009170842550272 ; || ; cosa digo , mejillones mojo rojo Taberna Laredo ... .¡que cosa tan rica ! ; || ; 0
id=828008904240005120 ; || ; Si bollera malvada . ; || ; 0
id=828008802846961666 ; || ; vídeo chulo : poner metal rojo hielo https : //t.co/9BEx8ypt0x ; || ; 0
id=828008712430313477 ; || ; hablo nazis mierda https : //t.co/GiYSOCa8ww ; || ; 1
id=828008671955279873 ; || ; Vicente Azpitarte , periodista poquito subnormal ? ? ? ? ? ? ? ? ? ? ? ? ? ? https : //t.co/OyMigg74bp ; || ; 0
id=828008561720586240 ; || ; gusta música perroflauta , alcohol matemáticos . ; || ; 0
id=828008544855285760 ; || ; nena basura negro bendecido ; || ; 0
id=828008130550317056 ; || ; sólo medio europeo online menciona # Goya webs , mientras españoles aquelarre rojomierda `` directo '' . ; || ; 1
id=828007866535669764 ; || ; Gran fotografía puesta sol desierto . camellos manchas blancas ; negras sombr… https : //t.co/xdVuW5LU2y ; || ; 0
id=828007601766006785 ; || ; American Donald Trump vs 5000 nazis van bajar murcia madrid . ; || ; 0
id=828007301449654272 ; || ; @ factorhumano @ rgondie pintura subvenciones , asi Cultura . facha pepero cuñao meterte Cultura . ? ? ; || ; 1
id=828007230523977733 ; || ; @ Alexzee616 @ AnthonyDashESP Dios , 2012 sigue siendo igual subnormal . si , uno.pero eh cambiado varias cosas.El ; || ; 1
id=828006786347257857 ; || ; Menudo mamón Paco jajajaja https : //t.co/YXqcVvJOJa ; || ; 0
id=828006766503931904 ; || ; ..y @ willyvin , piensa insultarle , ? . `` facha '' , '' bocachancla '' tal ... . ! ! ! @ LosantosPosts ; || ; 0
id=828006666767564800 ; || ; Post # SER panfletos rojomierdas , crean noticias falsas chusma vaya víctimas . @ gaceta_es @ neirajavier ; || ; 1
id=828006357903241218 ; || ; @ seculito verdad hace meses totalmente subnormal vida real da gusto darte cuenta mejor sensacion ; || ; 0
id=828006314282455040 ; || ; amigas chica lesbiana diciendo `` dile chirlas '' # ElSalseoEsReal ; || ; 0
id=828006225757556736 ; || ; Pedro Almodóvar ? líder opinión ? . tarado . # BoicotALosGoya ; || ; 0
id=828006217062694912 ; || ; @ casandr_a_ @ josecorbacho vive bien subvenciones Iglesia robar haceis FACHAS . ; || ; 1
id=828006208858624001 ; || ; rima , eliminado — Rima asonante , so tarado https : //t.co/cny1UafdYm ; || ; 0
id=828006053291913217 ; || ; pinta labios color negro chupa muerte . ; || ; 1
id=828006043535998978 ; || ; Pues aqui viendo hacen monguer # vipdirecto salvable casa Emma Daniela ; || ; 1
id=828006040679620608 ; || ; @ LosantosPosts @ Pablo_Iglesias_ mamarracho facha , bocachancla . ; || ; 1
id=828005790615269377 ; || ; @ LaikaOrbital @ gildelatorre1 @ NandoDanconia puedes ser subnormal ... ? ? ? ? ? ? concurso llama ¿Qué Rey ? dibujarlo ; || ; 1
id=828005614009843714 ; || ; ser patriota referente cine , fachas . # goya2017 ; || ; 0
id=828005563443322880 ; || ; SUBNORMAL JAJAHAJAHA https : //t.co/1bL9PTQFn1 ; || ; 0
id=828005548612259841 ; || ; # boicotalosGoya cuanto facha cuanta derechona rancia tras hashtag.imagino tb criticaran subvenciones fundación fco Franco ; || ; 1
id=828005162207805443 ; || ; portarse delicuentes izquierdistas gringos haciendo quedar pésimo partido Demócrata . querer ayudando Trump . ; || ; 1
id=828005095115747329 ; || ; @ alycia_heda @ empiezoporuve hecho llorar vídeo putona ; || ; 0
id=828004991529009152 ; || ; Ana Belén , ¡a ello , maricón ! # Brava # Goya2017 ; || ; 0
id=828004936046739456 ; || ; @ JoseSnow18 , decir , da ser hetero , problema ser retrasado xd ; || ; 1
id=828004918686601216 ; || ; @ mendeleiev si ? Joder quedo tranquilo . paso día pensando deben pensar q retrasado . Q ... ; || ; 0
id=828004675202998272 ; || ; leído subnormal # BoicotALosGoya decía quería cine español politizar , Hollywood PARTO COJONES ; || ; 1
id=828004572035739648 ; || ; lichi , culpable muerte cientos niños India https : //t.co/t8XIxFO9pr vía @ Planeta_Futuro ; || ; 0
id=828004158896795649 ; || ; Loki llamando ''zorra llorona '' Viuda Negra punto dark universo Marvel . ; || ; 0
id=828004088654737409 ; || ; @ kikitopaez menos subnormal escribo 2 veces tuit ; || ; 0
id=828004019767562241 ; || ; @ poetscryforaby si solución método concienciación pasa decir si comes carne hipócrita criticar nazis , ; || ; 0
id=828003995075612672 ; || ; LRT . Diego Brando gay cago puta . ; || ; 1
id=828003822194814976 ; || ; @ BernyAme Puedes añadir : Facha , cuñao , racista , homofobo , etc neo-vocabulario imbéciles imbécilas @ Danseker ; || ; 0
id=828003733967687681 ; || ; Si pretende reivindicar cine español , presentar película luce yanki ... Pues . ; || ; 0
id=828003509299707904 ; || ; Si entrego Goya gana gala , invento nombre . mamón . sé . Diría `` Luis Cuervas '' , mismo . ; || ; 0
id=828003371982475265 ; || ; @ poetscryforaby cambio ridícula argumentación comen carne hipócritas si critican nazis tontería grande ; || ; 0
id=828003351379968000 ; || ; @ alegrotix parto eh jaja vaya subnormal enserio , sobrevaloradisimo actor . ; || ; 1
id=828002927168126980 ; || ; @ Enrique92370849 discurso facha facilon q idea repetis mantra ; || ; 1
id=828002856745713664 ; || ; @ Kaalshya Oh , sorpresa , ninja hiperactivo . Puto subnormal . ; || ; 1
id=828002656778063873 ; || ; den ningún Goya Trueba boicot fachas ? ; || ; 0
id=828002553325580288 ; || ; último pegue Andres maricón # zamataouno ; || ; 0
id=828002517703344129 ; || ; Relato Gay - Vecino mamón https : //t.co/fgFtqs9QfE # relatosgay # cruisingMADRID ; || ; 0
id=828002430159818754 ; || ; @ quiquechust Useasé Facha costal viejo , ¿no ? ; || ; 0
id=828002381682053128 ; || ; 2 salidas da igual chicha limoná by Aida # Vipdirecto Continuamos bingo comentarios homófobos ; || ; 0
id=828002376716017664 ; || ; `` jorobado '' ... subnormal mantenido encima `` tontos '' . https : //t.co/dplet5LCSx ; || ; 1
id=828002244192829442 ; || ; Ir bus gilipollas suelte , cito textualmente : `` cosa ser homosexual cosa ser mariquita '' , explicáis ? ? ? ? ? ? ; || ; 0
id=828002192170815489 ; || ; lichi , culpable muerte cientos niños India https : //t.co/EXd4MRVw6Z vía @ Planeta_Futuro ; || ; 0
id=828002068564697093 ; || ; @ QuebeboVillegas mismo hacen derechas . derechas fachas izquierdas comunistas ! ! ; || ; 0
id=828002043562455040 ; || ; @ videsjavi nacionalsocialistas , fachas xD ; || ; 0
id=828001994422026241 ; || ; @ KingsMiss ver alguno chusma vividores subvencionados rojomierdas produce nauseas # NoVeoLosGoya # BoicotALosGoya ; || ; 1
id=828001855364091908 ; || ; @ LaikaOrbital @ OficialJRivera @ gildelatorre1 jajajajaja jajajajaja comas pollo vuelves maricón ; || ; 0
id=828001765568176129 ; || ; @ marilogm75 @ _ana_pc @ DANIROVIRA TACONES ROJOS ... ! ! ? ? ? ? ? ? ; || ; 0
id=828001636052254720 ; || ; hoy puto desaste club deriva nadie digo lamentable , vergonzoso futuro negro espera ; || ; 0
id=828001542741565440 ; || ; LOGSE Incorporated ( Si pué ser inglés ) `` Free State of Jones '' ¡Indepes excluídos vaya ser quieran dar facha , oiga ! ; || ; 0
id=828001373702733825 ; || ; lichi , culpable muerte cientos niños India https : //t.co/xW9Ow9Fh7j vía @ Planeta_Futuro ; || ; 0
id=828001142772736001 ; || ; temo hace gracia inyección cianuro ver Dani Rovira 5 minutos seguidos TV haciendo subnormal . ; || ; 0
id=828001139920617472 ; || ; @ Elsopazax , según facha , número gilipollas ? ; || ; 0
id=828001130122772481 ; || ; @ SrPersebeiro @ poligonero1976 mates facha , queda argumentos bloquea ; || ; 0
id=828001036220645377 ; || ; @ pilucaa26 mencionado derecha tuit . Facha mieerda ; || ; 1
id=828000983338848261 ; || ; cara Penélope Cruz plan `` ¿Qué hace tarado ? '' # Goya2017 ; || ; 0
id=828000930746474499 ; || ; único consuelo hacer subnormal , malagueño Dani Rovira pone acento sevillano . ; || ; 0
id=828000842607448064 ; || ; @ Azpitarte ahí facha ahí . Haciendo demagogia barata borregada fiel . ; || ; 0
id=828000786051452928 ; || ; ser capullo ... puto cerdo facha éste . da vergüenza mismo , CERDO ? https : //t.co/8XUUBjdHSf ; || ; 1
id=828000735556202497 ; || ; Puedes llamarme negro gilipollas , llames tarde cenar . ; || ; 0
id=828000521797632000 ; || ; Madre , hombre-tacones rojos-caminar difícil- . chiste pueblo . # Goya2017 # contandolosgoyas ; || ; 0
id=828000310291525632 ; || ; @ Noe_777_ puta loca , hablas pared ? ; || ; 1
id=828000053017137152 ; || ; Si odias selección española , pasa , si odías cultura española tampoco si odias cine español facha entiendo ; || ; 0
id=827999940362268678 ; || ; @ llopart86 fachas neonazis , solo buscan liarla parda ... . juas juas juass ; || ; 0
id=827999781716901890 ; || ; @ RockEmAllSev si ser nazi mierda diera pie atacarla costados . ; || ; 1
id=827999768207097856 ; || ; Dani Rovira sodomita ? ? ? # goya2017 ; || ; 0
id=827999660795117569 ; || ; volviendo loca maldito post blog ... nunca costado XD espero tenerlo listo mañana ... ; || ; 0
id=827999650389049344 ; || ; @ joseleatleti desgracia aún entregan Goyas simple hecho ser subnormal . Deberían empezar ; || ; 0
id=827999602167148549 ; || ; puede ser subnormal , ser subnormal Real Madrid pasarse xD ; || ; 1
id=827999440648691712 ; || ; Fingir acento yanki tol rato pone boca seca . Norrrrmaaallll # goya2017 ; || ; 0
id=827999279692279808 ; || ; Entiendo encrucijada Goya Twitter posicionas borracho posicionas facha . ; || ; 0
id=827999030789668864 ; || ; Hoy llamado ... Blánco mierda Racista Facha Puto nazi ... Etc dejar q cuele negro Mantero torno @ CercaniasMadrid ; || ; 0
id=827998934178131968 ; || ; ¿racista ? ¿Dónde ves racismo pedazo mierda putrefacta ? @ NandoDanconia https : //t.co/5Oym1JQ5ZJ ; || ; 1
id=827998898090344449 ; || ; # goya2017 aclarando conceptos fachas desinformados hacen boicot borreguista.El cine da 28 M € , recibe ; || ; 0
id=827998850354917377 ; || ; @ AngelBlanco_M @ JosPastr Si rechazar dictadores Franco Maduro ser perroflauta entonces . Da igual izquierda derecha . ; || ; 0
id=827998755366588416 ; || ; Lis fachas ignorantes seguiran diciendo subvencionados . sacas ahi . Animalitos # Goya2017 ; || ; 1
id=827998743375052800 ; || ; sabía marica Morancos presidía academia . # Goya2017 ; || ; 0
id=827998559106695168 ; || ; ver querid @ s ... ..¡QUE COÑO HACEIS DANDO AUDIENCIA SUBNORMAL ROVIRA ! ; || ; 1
id=827998408740859905 ; || ; Dia mujer billete llamó facha machista dejarla colarse torno nuevos ministerio @ CercaniasMadrid ; || ; 0
id=827998378504097792 ; || ; 30 millones euros gana cine español . Mensaje derechona cabestra habla oficio subvencionado . # goya2017 ; || ; 0
id=827998304650797057 ; || ; @ luisporto96 @ juanma_rguez subnormal meterlo cárcel , genio desinformación . Asqueroso ; || ; 1
id=827998242994606080 ; || ; @ Eloy99_bmx mujer polla , pelo pecho lesbiana , si lesbianas gusto unas transfobas ; || ; 0
id=827998190737747969 ; || ; Ahora vuelvo loca decir ¿qué cojones pasaba haberla visto ? ; || ; 0
id=827998179010437120 ; || ; resumo # goya2017 terminen : queremos dinero malos fachas . ; || ; 0
